Timeline,Start_time,Duration,Athlete,Trick_number,Amplitude,Side,Run_rating,Feature_list,Combo_list,Competition_run,Speed_rating,Score,Trick_speed_rating,Start,Trick_rating_list,Trick_list
Men’s Park Final 2019 Dew Tour,1375.750433,7.298255556,Barros Trick,1,6ft+,FS,,"Hip Transfer, Pocket",Feature Combo,"Final, Run 1",,,Aggressive,"Drop In, Mellow Quarter",Benchmark,"Ollie, Smith, Combo"
Men’s Park Final 2019 Dew Tour,1382.048689,3.895866667,Barros Trick,2,3ft,BS,,"Step Up, Big Tranny / Extention",Feature Combo,,,,Aggressive,,Benchmark,Lip Slide
Men’s Park Final 2019 Dew Tour,1384.944556,6.078544444,Barros Trick,3,6ft+,FS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,Frontside Air
Men’s Park Final 2019 Dew Tour,1390.0231,3.576455556,Barros Trick,4,6ft+,BS,,Flat Wall,,,,,Aggressive,,Benchmark,Smith
Men’s Park Final 2019 Dew Tour,1392.599556,3.800444444,Barros Trick,5,6ft+,BS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,540 Melon
Men’s Park Final 2019 Dew Tour,1395.4,3.509711111,Barros Trick,6,3ft,BS,,Flat Wall,,,,,Flow,,Clean,"Alley Oop, Indy"
Men’s Park Final 2019 Dew Tour,1397.909711,4.275122222,Barros Trick,7,5ft,FS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,"Alley Oop, 50-50"
Men’s Park Final 2019 Dew Tour,1401.184833,3.886344444,Barros Trick,8,1ft,BS,,Flat Bank,,,,,Technical,,Clean,Nose Blunt
Men’s Park Final 2019 Dew Tour,1404.071178,3.008822222,Barros Trick,9,5ft,BS,,Hip,,,,,Aggressive,,Benchmark,Backside Air
Men’s Park Final 2019 Dew Tour,1406.08,4.173433333,Barros Trick,10,3ft,BS,,Deep End,,,,,Aggressive,,Benchmark,"Nose Grab, Disaster, Combo"
Men’s Park Final 2019 Dew Tour,1409.253433,4.013377778,Barros Trick,11,5ft,FS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Benchmark,"Alley Oop, Frontside Air"
Men’s Park Final 2019 Dew Tour,1412.266811,3.288088889,Barros Trick,12,5ft,FS,,"Mellow  Quarter, High to Low Transfer",Feature Combo,,,,Aggressive,,Benchmark,5-0 Stand Up
Men’s Park Final 2019 Dew Tour,1414.5549,3.557011111,Barros Trick,13,4ft,BS,,Flat Wall,,,,,Flow,,Clean,Indy
Men’s Park Final 2019 Dew Tour,1417.111911,3.208088889,Barros Trick,14,4ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,,,,Flow,,Benchmark,"Indy, Fakie"
Men’s Park Final 2019 Dew Tour,1419.32,4.92,Barros Trick,15,1ft,Revert,Bail,Flat Bank,,,Aggressive,73,Technical,,Sketchy,"Fakie, Decker"
Men’s Park Final 2019 Dew Tour,2591.463749,6.809262433,Barros Trick,16,6ft+,FS,,"Hip Transfer, Pocket",Feature Combo,"Final, Run 2",,,Aggressive,"Drop In, Mellow Quarter",Benchmark,"Ollie, Smith, Combo"
Men’s Park Final 2019 Dew Tour,2597.273011,3.911433333,Barros Trick,17,3ft,BS,,"Step Up, Big Tranny / Extention",Feature Combo,,,,Aggressive,,Benchmark,"Ollie, Lip Slide"
Men’s Park Final 2019 Dew Tour,2600.184444,6.100738403,Barros Trick,18,6ft+,FS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,Frontside Air
Men’s Park Final 2019 Dew Tour,2605.285183,3.714817153,Barros Trick,19,5ft,BS,,Flat Wall,,,,,Aggressive,,Benchmark,Smith
Men’s Park Final 2019 Dew Tour,2608,3.4,Barros Trick,20,6ft+,BS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,540 Melon
Men’s Park Final 2019 Dew Tour,2610.4,3.68,Barros Trick,21,5ft,BS,,Flat Wall,,,,,Aggressive,,Benchmark,"Alley Oop, Indy"
Men’s Park Final 2019 Dew Tour,2613.08,4.1048,Barros Trick,22,3ft,BS,,Mellow  Quarter,,,,,Flow,,Clean,"Rockslide, Fakie"
Men’s Park Final 2019 Dew Tour,2616.1848,3.6552,Barros Trick,23,1ft,BS,,Flat Bank,,,,,Technical,,Clean,"Fakie, Nose Blunt"
Men’s Park Final 2019 Dew Tour,2618.84,3.36,Barros Trick,24,6ft+,BS,,Hip,,,,,Aggressive,,Benchmark,Backside Air
Men’s Park Final 2019 Dew Tour,2621.2,3.907911111,Barros Trick,25,3ft,BS,,Deep End,,,,,Flow,,Clean,"Backside Air, Disaster"
Men’s Park Final 2019 Dew Tour,2624.107911,3.972088889,Barros Trick,26,5ft,FS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Benchmark,"Alley Oop, Frontside Air"
Men’s Park Final 2019 Dew Tour,2627.08,3.310688889,Barros Trick,27,3ft,FS,,"Mellow  Quarter, High to Low Transfer, Deep Bowl Wall",Feature Combo,,,,Aggressive,,Benchmark,5-0 Stand Up
Men’s Park Final 2019 Dew Tour,2629.390689,3.609311111,Barros Trick,28,5ft,BS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,"Indy, 540 Indy"
Men’s Park Final 2019 Dew Tour,2632,3.36,Barros Trick,29,3ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,,,,Flow,,Clean,"Indy, Fakie"
Men’s Park Final 2019 Dew Tour,2634.36,3.473955556,Barros Trick,30,1ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Flow,,Clean,"Fakie, Decker"
Men’s Park Final 2019 Dew Tour,2636.833956,3.350623999,Barros Trick,31,1ft,FS,,Mellow  Quarter,,,,,Flow,,Clean,Lip Slide
Men’s Park Final 2019 Dew Tour,2639.18458,12.61232045,Barros Trick,32,,,Outstanding,,,,Aggressive,79.33,,,,
Men’s Park Final 2019 Dew Tour,3655.509878,5.037211111,Barros Trick,33,6ft+,FS,,"Hip Transfer, Pocket",Feature Combo,"Final, Run 3",,,Aggressive,"Drop In, Mellow Quarter",Benchmark,"Ollie, Smith, Combo"
Men’s Park Final 2019 Dew Tour,3659.547089,4.044833333,Barros Trick,34,3ft,BS,,"Step Up, Big Tranny / Extention",Feature Combo,,,,Aggressive,,Benchmark,"Ollie, Lip Slide"
Men’s Park Final 2019 Dew Tour,3662.591922,5.878877778,Barros Trick,35,6ft+,FS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,Frontside Air
Men’s Park Final 2019 Dew Tour,3667.4708,3.873477778,Barros Trick,36,5ft,BS,,Flat Wall,,,,,Aggressive,,Benchmark,Smith
Men’s Park Final 2019 Dew Tour,3670.344278,3.596133333,Barros Trick,37,6ft+,BS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,540 Melon
Men’s Park Final 2019 Dew Tour,3672.940411,3.379588889,Barros Trick,38,6ft+,BS,,Flat Wall,,,,,Aggressive,,Benchmark,"Alley Oop, Indy"
Men’s Park Final 2019 Dew Tour,3675.32,4.473766667,Barros Trick,39,6ft+,FS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,"Alley Oop, 50-50"
Men’s Park Final 2019 Dew Tour,3678.793767,3.604044444,Barros Trick,40,1ft,FS,,Flat Bank,,,,,Technical,,Benchmark,Nose Blunt
Men’s Park Final 2019 Dew Tour,3681.397811,3.479188889,Barros Trick,41,4ft,BS,,Hip,,,,,Flow,,Clean,Ollie
Men’s Park Final 2019 Dew Tour,3683.877,3.795188889,Barros Trick,42,3ft,BS,,Deep End,,,,,Flow,,Clean,"Nose Grab, Disaster, Combo"
Men’s Park Final 2019 Dew Tour,3686.672189,4.047811111,Barros Trick,43,5ft,FS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Benchmark,"Alley Oop, Frontside Air"
Men’s Park Final 2019 Dew Tour,3689.72,3.4813,Barros Trick,44,3ft,FS,,"Mellow  Quarter, High to Low Transfer",Feature Combo,,,,Aggressive,,Benchmark,5-0 Stand Up
Men’s Park Final 2019 Dew Tour,3692.2013,3.5187,Barros Trick,45,5ft,BS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,540 Indy
Men’s Park Final 2019 Dew Tour,3694.72,3.16,Barros Trick,46,3ft,BS,,Hip,,,,,Flow,,Clean,Backside Air
Men’s Park Final 2019 Dew Tour,3696.88,3.472,Barros Trick,47,2ft,FS,,Flat Bank,,,,,Flow,,Clean,"Ollie, 180"
Men’s Park Final 2019 Dew Tour,3699.352,3.768,Barros Trick,48,1ft,Revert,,Mellow  Quarter,,,,,Technical,,Benchmark,"Fakie, Decker"
Men’s Park Final 2019 Dew Tour,3702.12,4.827766667,Barros Trick,49,,,Outstanding,,,,Aggressive,84,,,,
Men’s Park Final 2019 Dew Tour,1226.48,5.869455556,Federico Trick,1,2ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,"Final, Run 1",,,Flow,"Drop In, Deep End",Benchmark,"Ollie, Bluntslide, Combo"
Men’s Park Final 2019 Dew Tour,1231.349456,5.6844,Federico Trick,2,6ft+,FS,,Deep Bowl Wall,,,,,Aggressive,,Clean,Smith
Men’s Park Final 2019 Dew Tour,1236.033856,3.286144444,Federico Trick,3,5ft,BS,,Flat Wall,,,,,Aggressive,,Clean,Nose Grab
Men’s Park Final 2019 Dew Tour,1238.32,3.371322222,Federico Trick,4,3ft,FS,,Mellow  Quarter,,,,,Aggressive,,Clean,Sugarcane
Men’s Park Final 2019 Dew Tour,1240.691322,1,Federico Trick,5,3ft,FS,,"Hip Transfer, Mellow  Quarter",Feature Combo,,,,Aggressive,,Clean,
Men’s Park Final 2019 Dew Tour,1240.691322,6.788677778,Federico Trick,6,3ft,BS,,Big Tranny / Extention,,,,,Aggressive,,Benchmark,"Kickflip, Melon, Disaster, Combo"
Men’s Park Final 2019 Dew Tour,1246.48,5.8296,Federico Trick,7,3ft,BS,,Mellow  Quarter,,,,,Flow,,Clean,Tailslide
Men’s Park Final 2019 Dew Tour,1251.3096,5.804277778,Federico Trick,8,3ft,BS,,Deep Bowl Wall,,,,,Technical,,Benchmark,"Kickflip, Nose Grab, Bodyjar, Combo"
Men’s Park Final 2019 Dew Tour,1256.113878,5.724744444,Federico Trick,9,2ft,FS,,"Mellow  Quarter, High to Low Transfer",Feature Combo,,,,Flow,,Clean,Nosebone
Men’s Park Final 2019 Dew Tour,1260.838622,4.123344444,Federico Trick,10,2ft,BS,,Deep End,,,,,Flow,,Benchmark,Boneless
Men’s Park Final 2019 Dew Tour,1263.961967,3.790122222,Federico Trick,11,4ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,,,,Flow,,Clean,Ollie
Men’s Park Final 2019 Dew Tour,1266.752089,5.885366667,Federico Trick,12,6ft+,FS,,Deep Bowl Wall,,,,,Aggressive,,Clean,Smith
Men’s Park Final 2019 Dew Tour,1271.637456,3.762544444,Federico Trick,13,3ft,BS,,Flat Wall,,,,,Flow,,Sketchy,540 Mute
Men’s Park Final 2019 Dew Tour,1274.4,3.483733333,Federico Trick,14,,,Outstanding,,,,Flow,74,,,,
Men’s Park Final 2019 Dew Tour,2499.267056,6.073,Federico Trick,15,3ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,"Final, Run 2",,,Aggressive,"Drop In, Deep End",Benchmark,"Ollie, Bluntslide, Combo"
Men’s Park Final 2019 Dew Tour,2504.340056,5.696988889,Federico Trick,16,6ft+,FS,,Deep Bowl Wall,,,,,Aggressive,,Clean,Smith
Men’s Park Final 2019 Dew Tour,2509.037044,3.518022222,Federico Trick,17,4ft,BS,,Flat Wall,,,,,Flow,,Benchmark,Nose Grab
Men’s Park Final 2019 Dew Tour,2511.555067,3.203277778,Federico Trick,18,3ft,FS,,"Hip Transfer, Mellow  Quarter",Feature Combo,,,,Aggressive,,Benchmark,"Ollie, Sugarcane"
Men’s Park Final 2019 Dew Tour,2513.758344,6.361455556,Federico Trick,19,3ft,BS,,Big Tranny / Extention,,,,,Aggressive,,Benchmark,"Kickflip, Bodyjar, Combo"
Men’s Park Final 2019 Dew Tour,2519.1198,6.861811111,Federico Trick,20,3ft,BS,Bail,Mellow  Quarter,,,Flow,42,Aggressive,,Sketchy,"Kickflip, Melon, Nose Blunt, Combo"
Men’s Park Final 2019 Dew Tour,3584.880029,5.43509338,Federico Trick,21,3ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,"Final, Run 3",,,Aggressive,"Drop In, Deep End",Benchmark,"Ollie, Bluntslide, Combo"
Men’s Park Final 2019 Dew Tour,3589.315122,5.720255556,Federico Trick,22,6ft+,FS,,Deep Bowl Wall,,,,,Aggressive,,Clean,Smith
Men’s Park Final 2019 Dew Tour,3594.035378,3.524622222,Federico Trick,23,5ft,BS,,Flat Wall,,,,,Aggressive,,Benchmark,Nose Grab
Men’s Park Final 2019 Dew Tour,3596.56,3.199166667,Federico Trick,24,3ft,FS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,Sugarcane
Men’s Park Final 2019 Dew Tour,3598.759167,6.756366667,Federico Trick,25,3ft,BS,Bail,Big Tranny / Extention,,,Flow,27.66,Aggressive,,Sketchy,"Kickflip, Melon, Bodyjar, Combo"
Men’s Park Final 2019 Dew Tour,1093.683862,5.106626586,Juneau Trick,1,6ft+,FS,,Deep Bowl Wall,,"Final, Run 1",,,Aggressive,"Roll In, Flat Wall",Benchmark,Rockslide
Men’s Park Final 2019 Dew Tour,1097.790489,3.639633333,Juneau Trick,2,2ft,FS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Technical,,Clean,"Ollie, 5-0, Combo"
Men’s Park Final 2019 Dew Tour,1100.430122,3.369877778,Juneau Trick,3,5ft,FS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,"Alley Oop, Ollie"
Men’s Park Final 2019 Dew Tour,1102.8,3.448122222,Juneau Trick,4,2ft,FS,,"Hip Transfer, Pocket",Feature Combo,,,,Flow,,Clean,"Ollie, 5-0 Stand Up"
Men’s Park Final 2019 Dew Tour,1105.248122,3.991877778,Juneau Trick,5,1ft,Revert,,Big Tranny / Extention,,,,,Technical,,Benchmark,Decker
Men’s Park Final 2019 Dew Tour,1108.24,6.317869026,Juneau Trick,6,3ft,FS,,Mellow  Quarter,,,,,Technical,,Benchmark,"Fakie, Nose Grind"
Men’s Park Final 2019 Dew Tour,1113.557869,3.70692129,Juneau Trick,7,3ft,BS,,Flat Wall,,,,,Flow,,Clean,Tailslide
Men’s Park Final 2019 Dew Tour,1116.26479,3.603731906,Juneau Trick,8,3ft,FS,,Deep Bowl Wall,,,,,Flow,,Clean,Bluntslide
Men’s Park Final 2019 Dew Tour,1118.868522,6.608164442,Juneau Trick,9,3ft,BS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,"Ollie, Nose Blunt, Combo"
Men’s Park Final 2019 Dew Tour,1124.476687,2.917446669,Juneau Trick,10,1ft,FS,,"Hip Transfer, Corners",Feature Combo,,,,Flow,,Clean,Ollie
Men’s Park Final 2019 Dew Tour,1126.394133,4.207311111,Juneau Trick,11,1ft,FS,,Deep End,,,,,Technical,,Benchmark,"Ollie, Pivot, Fakie"
Men’s Park Final 2019 Dew Tour,1129.601444,3.558555556,Juneau Trick,12,2ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,,,,Technical,,Benchmark,"Fakie, 180 Halfcab"
Men’s Park Final 2019 Dew Tour,1132.16,3.917955556,Juneau Trick,13,1ft,BS,,Flat Bank,,,,,Flow,,Benchmark,"Fakie, Nose Blunt"
Men’s Park Final 2019 Dew Tour,1135.077956,3.522044444,Juneau Trick,14,1ft,Revert,,Mellow  Quarter,,,,,Technical,,Benchmark,Nose Blunt
Men’s Park Final 2019 Dew Tour,1137.6,6.044922222,Juneau Trick,15,,,Outstanding,,,,Technical,77,,,,
Men’s Park Final 2019 Dew Tour,2378.2813,5.228677778,Juneau Trick,16,6ft+,FS,,Deep Bowl Wall,,"Final, Run 2",,,Aggressive,"Roll In, Flat Wall",Benchmark,Rockslide
Men’s Park Final 2019 Dew Tour,2382.509978,3.736344444,Juneau Trick,17,3ft,FS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Flow,,Clean,Ollie
Men’s Park Final 2019 Dew Tour,2385.246322,3.913677778,Juneau Trick,18,3ft,BS,,Mellow  Quarter,,,,,Technical,,Benchmark,"Ollie, Nose Blunt"
Men’s Park Final 2019 Dew Tour,2388.16,3.200311111,Juneau Trick,19,1ft,FS,,"Hip Transfer, Pocket",Feature Combo,,,,Flow,,Clean,"Ollie, 5-0, Combo"
Men’s Park Final 2019 Dew Tour,2390.360311,4.195722222,Juneau Trick,20,1ft,FS,,Big Tranny / Extention,,,,,Technical,,Benchmark,"Ollie, Nose Pick, Combo"
Men’s Park Final 2019 Dew Tour,2393.556033,6.003966667,Juneau Trick,21,4ft,FS,,Mellow  Quarter,,,,,Flow,,Sketchy,Frontflip
Men’s Park Final 2019 Dew Tour,2398.56,3.758477778,Juneau Trick,22,2ft,BS,,Flat Wall,,,,,Flow,,Clean,Smith
Men’s Park Final 2019 Dew Tour,2401.318478,3.804711111,Juneau Trick,23,2ft,FS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,Bluntslide
Men’s Park Final 2019 Dew Tour,2404.123189,5.9504,Juneau Trick,24,4ft,FS,,Mellow  Quarter,,,,,Flow,,Benchmark,"Alley Oop, Ollie"
Men’s Park Final 2019 Dew Tour,2409.073589,2.966411111,Juneau Trick,25,2ft,FS,,"Hip Transfer, Pocket",Feature Combo,,,,Flow,,Clean,Ollie
Men’s Park Final 2019 Dew Tour,2411.04,4.192955556,Juneau Trick,26,1ft,FS,,Deep End,,,,,Technical,,Benchmark,"Ollie, 5-0, Fakie"
Men’s Park Final 2019 Dew Tour,2414.232956,3.407044444,Juneau Trick,27,2ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,,,,Flow,,Benchmark,180 Halfcab
Men’s Park Final 2019 Dew Tour,2416.64,3.987322222,Juneau Trick,28,1ft,BS,,Flat Bank,,,,,Slow,,Clean,"Fakie, Decker"
Men’s Park Final 2019 Dew Tour,2419.627322,3.452677778,Juneau Trick,29,1ft,Revert,,Mellow  Quarter,,,,,Technical,,Benchmark,Nose Blunt
Men’s Park Final 2019 Dew Tour,2422.08,8.800155556,Juneau Trick,30,,,Outstanding,,,,Technical,81,,,,
Men’s Park Final 2019 Dew Tour,3507.369612,5.340010326,Juneau Trick,31,6ft+,FS,,Deep Bowl Wall,,"Final, Run 3",,,Aggressive,"Roll In, Flat Wall",Benchmark,Rockslide
Men’s Park Final 2019 Dew Tour,3511.709622,3.7967,Juneau Trick,32,3ft,FS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Flow,,Clean,"Ollie, 5-0, Combo"
Men’s Park Final 2019 Dew Tour,3514.506322,3.847633333,Juneau Trick,33,3ft,BS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,"Ollie, Nose Blunt, Combo"
Men’s Park Final 2019 Dew Tour,3517.353956,3.197888889,Juneau Trick,34,2ft,FS,,"Hip Transfer, Pocket",Feature Combo,,,,Flow,,Benchmark,"Ollie, 5-0 Stand Up"
Men’s Park Final 2019 Dew Tour,3519.551844,4.285533333,Juneau Trick,35,1ft,FS,,Big Tranny / Extention,,,,,Aggressive,,Benchmark,Blunt
Men’s Park Final 2019 Dew Tour,3522.837378,6.522466667,Juneau Trick,36,5ft,FS,Bail,Mellow  Quarter,,,Technical,32,Aggressive,,Sketchy,Frontflip
Men’s Park Final 2019 Dew Tour,971.8402333,6.764644444,Luiz Trick,1,5ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,"Final, Run 1",,,Aggressive,"Drop In, Deep End",Benchmark,"Alley Oop, Method"
Men’s Park Final 2019 Dew Tour,977.6048778,4.073888889,Luiz Trick,2,4ft,BS,,Flat Wall,,,,,Aggressive,,Benchmark,Smith
Men’s Park Final 2019 Dew Tour,980.6787667,3.808266667,Luiz Trick,3,6ft+,FS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,Lip Slide
Men’s Park Final 2019 Dew Tour,983.4870333,3.7546,Luiz Trick,4,4ft,Revert,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Benchmark,"Ollie, Tailslide"
Men’s Park Final 2019 Dew Tour,986.2416333,4.945522222,Luiz Trick,5,6ft+,FS,,Flat Wall,,,,,Aggressive,,Benchmark,"Fakie, 50-50"
Men’s Park Final 2019 Dew Tour,990.1871556,3.931433333,Luiz Trick,6,3ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Flow,,Clean,"Kickflip, Indy"
Men’s Park Final 2019 Dew Tour,993.1185889,4.7146,Luiz Trick,7,6ft+,FS,,Deep Bowl Wall,,,,,Flow,,Benchmark,Smith
Men’s Park Final 2019 Dew Tour,996.8331889,3.2901,Luiz Trick,8,5ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,,,,Aggressive,,Benchmark,540 Melon
Men’s Park Final 2019 Dew Tour,999.1232889,6.256966667,Luiz Trick,9,1ft,BS,,Big Tranny / Extention,,,,,Flow,,Clean,Boneless
Men’s Park Final 2019 Dew Tour,1004.380256,6.207954854,Luiz Trick,10,6ft+,FS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,"Frontside Air, Ollie One Foot, Combo"
Men’s Park Final 2019 Dew Tour,1009.58821,6.21178959,Luiz Trick,11,5ft,BS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,"Heelflip, Indy, Combo"
Men’s Park Final 2019 Dew Tour,1014.8,5.0408,Luiz Trick,12,1ft,FS,Bail,Deep Bowl Wall,,,Aggressive,67.33,Aggressive,,Sketchy,Blunt
Men’s Park Final 2019 Dew Tour,2190.792944,5.807055556,Luiz Trick,13,4ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,"Final, Run 2",,,Aggressive,"Drop In, Deep End",Clean,"Alley Oop, Method"
Men’s Park Final 2019 Dew Tour,2195.6,3.957,Luiz Trick,14,3ft,BS,,Flat Wall,,,,,Aggressive,,Clean,Smith
Men’s Park Final 2019 Dew Tour,2198.557,3.683766667,Luiz Trick,15,6ft+,FS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,Lip Slide
Men’s Park Final 2019 Dew Tour,2201.240767,4.207433333,Luiz Trick,16,4ft,Revert,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Benchmark,"Ollie, Tailslide"
Men’s Park Final 2019 Dew Tour,2204.4482,4.739355556,Luiz Trick,17,6ft+,FS,,Deep End,,,,,Aggressive,,Benchmark,"Fakie, 50-50"
Men’s Park Final 2019 Dew Tour,2208.187556,3.812444444,Luiz Trick,18,3ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Flow,,Clean,"Kickflip, Indy"
Men’s Park Final 2019 Dew Tour,2211,4.854288889,Luiz Trick,19,6ft+,FS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,Smith
Men’s Park Final 2019 Dew Tour,2214.854289,3.385711111,Luiz Trick,20,5ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,,,,Aggressive,,Clean,540 Melon
Men’s Park Final 2019 Dew Tour,2217.24,6.369188889,Luiz Trick,21,1ft,BS,,Big Tranny / Extention,,,,,Flow,,Benchmark,Boneless
Men’s Park Final 2019 Dew Tour,2222.609189,6.078408927,Luiz Trick,22,6ft+,FS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,Frontside Air
Men’s Park Final 2019 Dew Tour,2227.687598,6.312402184,Luiz Trick,23,4ft,BS,,Deep Bowl Wall,,,,,Flow,,Clean,"Heelflip, Indy, Combo"
Men’s Park Final 2019 Dew Tour,2233,3.28,Luiz Trick,24,2ft,BS,,Flat Wall,,,,,Flow,,Clean,Backside Air
Men’s Park Final 2019 Dew Tour,2235.28,3.44,Luiz Trick,25,2ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,,,,Flow,,Clean,"Varial Kickflip, Indy, Combo"
Men’s Park Final 2019 Dew Tour,2237.72,6.401655556,Luiz Trick,26,,,Clean,,,,Flow,73.88,,,,
Men’s Park Final 2019 Dew Tour,3330.069413,6.84997579,Luiz Trick,27,6ft+,FS,,Mellow  Quarter,,"Final, Run 3",,,Aggressive,"Drop In, Vert Wall",Benchmark,Frontside Air
Men’s Park Final 2019 Dew Tour,3335.919389,3.797911111,Luiz Trick,28,3ft,BS,,Flat Wall,,,,,Flow,,Clean,Smith
Men’s Park Final 2019 Dew Tour,3338.7173,3.467953687,Luiz Trick,29,6ft+,FS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,Lip Slide
Men’s Park Final 2019 Dew Tour,3341.185254,4.014746313,Luiz Trick,30,4ft,FS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Benchmark,"Frontside Air, 180"
Men’s Park Final 2019 Dew Tour,3344.2,4.843433333,Luiz Trick,31,6ft+,FS,,Deep End,,,,,Aggressive,,Benchmark,"Fakie, 50-50"
Men’s Park Final 2019 Dew Tour,3348.043433,3.915444444,Luiz Trick,32,3ft,BS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Flow,,Clean,"Kickflip, Indy"
Men’s Park Final 2019 Dew Tour,3350.958878,4.958155556,Luiz Trick,33,6ft+,FS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,Smith
Men’s Park Final 2019 Dew Tour,3354.917033,3.401077778,Luiz Trick,34,5ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,,,,Aggressive,,Benchmark,540 Melon
Men’s Park Final 2019 Dew Tour,3357.318111,6.358811111,Luiz Trick,35,1ft,BS,,Big Tranny / Extention,,,,,Aggressive,,Benchmark,Boneless
Men’s Park Final 2019 Dew Tour,3362.676922,5.889855556,Luiz Trick,36,6ft+,FS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,Tail Grab
Men’s Park Final 2019 Dew Tour,3367.566778,3.915888889,Luiz Trick,37,2ft,BS,,Flat Wall,,,,,Flow,,Clean,Smith
Men’s Park Final 2019 Dew Tour,3370.482667,3.637122222,Luiz Trick,38,3ft,BS,,Deep Bowl Wall,,,,,Flow,,Benchmark,"Heelflip, Indy, Combo"
Men’s Park Final 2019 Dew Tour,3373.119789,3.400211111,Luiz Trick,39,3ft,BS,,Deep Bowl Wall,,,,,Flow,,Clean,"Backside Air, Body Varial, Combo"
Men’s Park Final 2019 Dew Tour,3375.52,3.427911111,Luiz Trick,40,2ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,,,,Flow,,Clean,Nose Grab
Men’s Park Final 2019 Dew Tour,3377.947911,3.572088889,Luiz Trick,41,4ft,FS,,Flat Bank,,,,,Flow,,Benchmark,Boneless
Men’s Park Final 2019 Dew Tour,3380.52,1,Luiz Trick,42,,,Outstanding,,,,Flow,74.16,,,,
Men’s Park Final 2019 Dew Tour,553.3494778,2.763755556,Mateu Trick,1,1ft,BS,,Flat Bank,,"Final, Run 1",,,Aggressive,"Roll In, Flat Bank",Clean,Backside Air
Men’s Park Final 2019 Dew Tour,555.1132333,5.956,Mateu Trick,2,1ft,FS,,Big Tranny / Extention,,,,,Aggressive,,Clean,"Frontside Invert, One Foot Invert, Combo"
Men’s Park Final 2019 Dew Tour,560.0692333,7.2847,Mateu Trick,3,3ft,FS,Bail,"Hip Transfer, Deep Bowl Wall",Feature Combo,,Aggressive,15.66,Aggressive,,Sketchy,Stalefish
Men’s Park Final 2019 Dew Tour,1650.673622,8.397577778,Mateu Trick,4,1ft,FS,,Big Tranny / Extention,,"Final, Run 2",,,Aggressive,"Ollie, Mellow Quarter",Benchmark,"Frontside Invert, One Foot Invert, Combo"
Men’s Park Final 2019 Dew Tour,1658.0712,6.283311111,Mateu Trick,5,5ft,FS,,"Big Tranny / Extention, Hip Transfer, Deep Bowl Wall",Feature Combo,,,,Aggressive,,Benchmark,Stalefish
